matrix,threads,arm,repetitions,eliminate_ms,eliminate_ratio,setup_ms,setup_ratio,total_ms,total_ratio
as-Skitter,36,base,24,165.746000,1.000000000,797.663500,1.000000000,821.488000,1.000000000
as-Skitter,36,t128,24,169.304000,1.021466581,804.714000,1.008838940,826.812000,1.006480922
as-Skitter,36,t256,24,156.249000,0.942701483,804.497500,1.008567523,827.621500,1.007466329
as-Skitter,36,t512,24,159.293000,0.961066934,796.100000,0.998039900,819.146500,0.997149684
as-Skitter,36,t1024,24,170.157500,1.026616027,803.190500,1.006928987,826.604000,1.006227723
coPapersDBLP,36,base,24,257.154500,1.000000000,740.742500,1.000000000,755.848000,1.000000000
coPapersDBLP,36,t128,24,269.815000,1.049233049,754.129000,1.018071732,768.780000,1.017109260
coPapersDBLP,36,t256,24,258.901000,1.006791637,744.287500,1.004785739,758.969500,1.004129799
coPapersDBLP,36,t512,24,263.103000,1.023132008,733.784000,0.990606047,748.538000,0.990328743
coPapersDBLP,36,t1024,24,248.969000,0.968168941,740.002500,0.999001002,755.451500,0.999475424
com-Amazon,36,base,24,25.260500,1.000000000,78.537500,1.000000000,80.705500,1.000000000
com-Amazon,36,t128,24,25.796000,1.021199105,79.013000,1.006054433,81.264000,1.006920222
com-Amazon,36,t256,24,25.210000,0.998000831,78.643500,1.001349674,80.753000,1.000588560
com-Amazon,36,t512,24,25.077000,0.992735694,78.303000,0.997014165,80.431000,0.996598745
com-Amazon,36,t1024,24,25.149000,0.995585994,78.174500,0.995378004,80.535500,0.997893576
com-LiveJournal,36,base,24,1224.964000,1.000000000,4134.398000,1.000000000,4248.653500,1.000000000
com-LiveJournal,36,t128,24,1238.222500,1.010823583,4128.873000,0.998663651,4238.145500,0.997526746
com-LiveJournal,36,t256,24,1208.265000,0.986367763,4123.137500,0.997276387,4237.784500,0.997441778
com-LiveJournal,36,t512,24,1208.202000,0.986316333,4109.911500,0.994077372,4223.194500,0.994007749
com-LiveJournal,36,t1024,24,1235.777000,1.008827198,4137.154500,1.000666723,4250.445500,1.000421781
com-Orkut,36,base,24,4585.127000,1.000000000,14313.984500,1.000000000,14800.889500,1.000000000
com-Orkut,36,t128,24,4394.261500,0.958372909,14171.253500,0.990028563,14642.682000,0.989310946
com-Orkut,36,t256,24,4364.780500,0.951943207,14138.297500,0.987726199,14630.278500,0.988472923
com-Orkut,36,t512,24,4301.795500,0.938206401,14093.543500,0.984599606,14566.714500,0.984178316
com-Orkut,36,t1024,24,4360.782500,0.951071257,14118.542000,0.986346045,14605.694000,0.986811907
as-Skitter,72,base,12,150.532000,1.000000000,664.697500,1.000000000,685.398500,1.000000000
as-Skitter,72,t128,12,156.948000,1.042622167,668.216500,1.005294138,687.909500,1.003663562
as-Skitter,72,t256,12,147.065500,0.976971674,673.088500,1.012623788,692.349500,1.010141545
as-Skitter,72,t512,12,128.094000,0.850941992,681.063500,1.024621726,701.056000,1.022844374
as-Skitter,72,t1024,12,141.127000,0.937521590,663.455500,0.998131481,683.227000,0.996831770
coPapersDBLP,72,base,12,249.712500,1.000000000,618.444500,1.000000000,631.717000,1.000000000
coPapersDBLP,72,t128,12,289.926000,1.161039195,638.710500,1.032769311,651.986000,1.032085570
coPapersDBLP,72,t256,12,244.059000,0.977359964,632.258500,1.022336685,646.252500,1.023009512
coPapersDBLP,72,t512,12,238.722000,0.955987385,632.401500,1.022567910,645.580500,1.021945745
coPapersDBLP,72,t1024,12,271.482500,1.087180257,630.214500,1.019031619,643.474500,1.018611973
com-Amazon,72,base,12,24.951500,1.000000000,70.986500,1.000000000,72.809000,1.000000000
com-Amazon,72,t128,12,24.992000,1.001623149,70.775500,0.997027604,72.636000,0.997623920
com-Amazon,72,t256,12,24.833500,0.995270825,69.607500,0.980573771,71.445500,0.981272920
com-Amazon,72,t512,12,24.549500,0.983888744,69.570000,0.980045502,72.453000,0.995110495
com-Amazon,72,t1024,12,24.583000,0.985231349,70.288500,0.990167144,72.142500,0.990845912
com-LiveJournal,72,base,12,1078.467500,1.000000000,3185.905500,1.000000000,3278.814000,1.000000000
com-LiveJournal,72,t128,12,1068.136000,0.990420203,3180.806500,0.998399513,3280.189000,1.000419359
com-LiveJournal,72,t256,12,1091.097000,1.011710599,3195.536500,1.003023002,3291.002500,1.003717350
com-LiveJournal,72,t512,12,1079.301000,1.000772856,3177.121000,0.997242699,3271.602500,0.997800577
com-LiveJournal,72,t1024,12,1117.885000,1.036549548,3213.927000,1.008795459,3307.528500,1.008757587
com-Orkut,72,base,12,4026.111500,1.000000000,11693.496500,1.000000000,12127.078500,1.000000000
com-Orkut,72,t128,12,3888.105500,0.965722261,11523.309000,0.985445970,11951.141500,0.985492219
com-Orkut,72,t256,12,3835.443000,0.952642022,11487.962000,0.982423179,11924.087000,0.983261302
com-Orkut,72,t512,12,3776.625000,0.938032889,11449.120500,0.979101546,11874.981500,0.979212058
com-Orkut,72,t1024,12,3829.030500,0.951049294,11456.729500,0.979752249,11889.009500,0.980368809
