matrix,family,law,factor_seed,threads,fill,iterations,own_clique_J,nonempty_stars,degree_ge9_stars,degree_ge9_J_fraction,reservoir_stars,eligible_nontrivial_stars,actual_original_rr,matrix_sha256,rhs_sha256,binary_sha256
grid_2000,grids,gks,42,72,21864559,47,5655388.80748094,3999999,19957,0.013942344585664065,52,3995425,7.608704592759953e-09,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
grid_2000,grids,trace_cycle,42,72,26903609,28,4568957.910228966,3999999,475025,0.31325519381884215,67,3999994,9.92096031990116e-09,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
grid_2000,grids,heavy_core_k2,42,72,26955447,27,,3999999,485766,,64,3999993,7.3259072164076055e-09,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
grid_2000,grids,prufer,42,72,21967937,52,5174169.081963018,3999999,41747,0.028286010020572114,61,3991696,8.057861643143534e-09,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
iter0040,ipm,gks,42,72,4623065,46,717378.3959695065,524287,524252,0.9999747950750112,23,524284,8.549984668262033e-09,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
iter0040,ipm,trace_cycle,42,72,5150835,27,621106.7813833652,524287,524261,0.9999883825940902,24,524284,6.4430982192244046e-09,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
iter0040,ipm,heavy_core_k2,42,72,5183819,27,,524287,524269,,23,524284,6.141984941418167e-09,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
iter0040,ipm,prufer,42,72,4716448,58,762831.7896579478,524287,524255,0.9999801089632352,24,524284,7.871675947737573e-09,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
as-Skitter,suitesparse,gks,42,72,16749038,21,8538296.368458832,1695659,475424,0.8242962077124463,139,1180595,4.639391447890517e-09,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
as-Skitter,suitesparse,trace_cycle,42,72,17251989,15,5201732.8199878605,1695659,488557,0.8917472233795125,140,1184583,7.0527811906801785e-09,1571148437ef03dc2bfb5ce0f6efb5aabcddd00e6099f15453a9ca54c4da8cba,d0eb21f1489fa50768f3c5d212c7b6e4092f2caae8619c32ca9fa2f49c79a106,2d1064c98322ce793d614f4dae4e638ee981b1e9ecb4796269d75c0487d0cb32
