sampler	alpha	seeds	iterations	mean_iterations	mean_raw_nnz	status
gks		1,17,42,73,97	40,42,42,44,42	42.0	8912901	converged
ptree	1.00	1,17,42,73,97	93,86,92,98,83	90.4	8852927.4	converged
ptree	1.25	1,17,42,73,97	70,65,68,69,69	68.2	8820307	converged
ptree	1.50	1,17,42,73,97	61,63,59,61,58	60.4	8794838	converged
ptree	1.60	1,17,42,73,97	58,61,62,65,58	60.8	8786791	converged
ptree	1.70	1,17,42,73,97	58,60,60,59,63	60.0	8772586	converged
ptree	1.75	1,17,42,73,97	56,60,60,56,60	58.4	8768053	converged
ptree	1.80	1,17,42,73,97	59,65,60,60,60	60.8	8763828	converged
ptree	1.90	1,17,42,73,97	61,70,70,58,68	65.4	8755888	converged
ptree	2.00	1,17,42,73,97	71,82,68,70,68	71.8	8744836	converged
ptree	2.50	1,17,42,73,97	120,123,123,135,126	125.4	8699841	converged
ptree	3.00	1,17,42,73,97	211,232,246,198,273	232.0	8662644	converged
