matrix,trajectory,census_nonempty,gks_J,prufer_J_covered,prufer_covered_stars,prufer_degree_cap_excluded,cycle_q_J,prufer_over_gks,cycle_q_over_gks
grid_2000,gks,3999999,5655388.80748094,5028504.777782058,3999999,0,2484748.7089509894,0.8891527972630918,0.4393594841196714
grid_2000,trace_cycle,3999999,8468329.72946483,7780137.835141415,3999999,0,4568957.910228966,0.9187334555563051,0.5395347200914563
grid_2000,heavy_core_k2,3999999,8561991.91669454,7859743.59566714,3999999,0,4656423.299781787,0.9179807306687446,0.5438481307956496
grid_2000,prufer,3999999,6028768.659418359,5174169.081963018,3999999,0,2415803.315299205,0.8582464138642547,0.40071255869557215
iter0040,gks,524287,717378.3959695065,731133.6545626309,524287,0,422696.5441082631,1.0191743418402428,0.5892239667142564
iter0040,trace_cycle,524287,899596.2883441267,969362.2008818304,524287,0,621106.7813833652,1.077552468192283,0.690428350395517
iter0040,heavy_core_k2,524287,904123.4457300092,971739.9739701536,524287,0,624781.0724187248,1.0747868319967626,0.6910351405766971
iter0040,prufer,524287,730399.9713033,762831.7896579478,524287,0,454346.4577916275,1.0444028198642692,0.6220515822048948
as-Skitter,gks,1695659,8538296.368458832,7381792.029116346,1695659,0,4993786.326196994,0.8645509256841086,0.5848691718695138
as-Skitter,trace_cycle,1695659,8668519.455207942,7603316.704623271,1695659,0,5201732.8199878605,0.8771182603801263,0.6000716554731526
as-Skitter,heavy_core_k2,1695659,8659560.075216115,7588029.10266014,1695659,0,5193225.771258205,0.8762603454160768,0.5997101153119028
as-Skitter,prufer,1695659,8558397.903650032,7432382.331413177,1695659,0,5063221.253037563,0.8684315002745284,0.5916085358543767
chimera-i1-eps0.1-step1,gks,99999,1438040.0332678447,1402588.6008371422,99999,0,1186371.0970663112,0.9753473953363164,0.8249917037221602
chimera-i1-eps0.1-step1,trace_cycle,99999,1599900.0397186994,1608467.5570552696,99999,0,1340529.7844464232,1.0053550328919778,0.8378834621956258
chimera-i1-eps0.1-step1,heavy_core_k2,99999,1620700.9326562744,1614490.7259495712,99999,0,1359464.0384217242,0.9961681969933066,0.8388123996409432
chimera-i1-eps0.1-step1,prufer,99999,1320932.702749197,1341634.563765606,99999,0,1079269.1979086497,1.0156721542084037,0.8170508578237301
