scope	pairs	mean_iters_gks	mean_iters_bkz26	iteration_delta_sum	iteration_delta_min	iteration_delta_max	raw_nnz_geomean	stored_nnz_geomean	setup_geomean	solve_geomean	total_geomean
iter0010	5	41.0	90.0	245	47	52	0.9932183475983839	0.991830816734617	0.9926409693602456	2.140534200667693	1.266059493556797
iter0020	5	37.2	61.2	120	21	27	1.0077541455170043	1.0100053407056617	1.003069425999876	1.5390516779859253	1.1572743560054704
iter0030	5	51.0	62.6	58	9	15	1.012845607840654	1.0136886805239342	0.9960923638957607	1.216739111363115	1.0609184965175418
iter0040	5	56.2	73.2	85	9	25	1.0112212492123902	1.0200271569869446	0.7885137399030209	1.2461199964053546	0.9254338884767953
grid_500	5	47.2	48.6	7	-2	3	1.0058850373530481	1.005886712225131	1.0066071224227884	1.006949184403382	1.0060192879010428
G3_circuit	5	46.2	52.6	32	3	9	1.0116612342587543	1.0116997890030421	1.1567628297298622	1.1680511790928527	1.158969667149728
thermal2	5	44.6	50.6	30	5	7	1.0093355142185387	1.009328083554491	1.0776024688399695	1.184189573709116	1.1121538632319545
com-Amazon	5	36.0	40.4	22	-4	8	1.043765301910125	1.0436747135844473	1.1737691474023977	1.2071620340613052	1.1829615619352856
IPM	20	46.35	71.75	508	9	52	1.0062298365159743	1.0088332784375222	0.940390030421696	1.4949724070367667	1.095164773290828
controls	20	43.5	48.05	91	-4	9	1.0175493158851754	1.0175354821439866	1.1016316325807487	1.1387124184154187	1.1128931550544168
all	40	44.925	59.9	599	-4	52	1.0118737479399698	1.0131750373838782	1.0178228748049007	1.3047389183592082	1.1039933785363412
