matrix	seed	iters_gks	iters_bkz26	iteration_delta	raw_nnz_ratio	stored_nnz_ratio	setup_ratio	solve_ratio	total_ratio	true_residual
iter0010	1	41	88	47	0.9930110343500347	0.991537335489182	0.966198679155131	2.16797652274002	1.2448828539607057	9.483866606e-09
iter0010	17	40	91	51	0.9934951152033283	0.9924034365665616	0.9801967638334379	2.123219707605444	1.254107418442839	9.881608887e-09
iter0010	42	40	92	52	0.9931530374487597	0.9915632702110329	1.0121444658051015	2.2192203165910445	1.2959073187247285	7.933852698e-09
iter0010	73	41	89	48	0.9934055077566571	0.9920093884656263	0.9864894400522961	2.1188013079428765	1.2542808747166931	9.943983741e-09
iter0010	97	43	90	47	0.9930271416130143	0.9916409319471616	1.0191692932699175	2.0762071992024627	1.2818541264121124	8.015149042e-09
iter0020	1	40	62	22	1.0077486064189651	1.0099789057247734	0.9728168699648363	1.4422972492012645	1.1152897445509453	9.633685457e-09
iter0020	17	36	57	21	1.0082148620071099	1.0106446031813356	1.0065158267244987	1.5198221712637905	1.1492362911090954	6.507490818e-09
iter0020	42	37	61	24	1.007761283433145	1.0099615343538848	0.9909821231469473	1.2845902637706081	1.0805655307610915	9.988243028e-09
iter0020	73	36	63	27	1.0076328150573908	1.0099632935665293	1.0182446151272135	1.8774343743477269	1.2481802742173418	7.23435056e-09
iter0020	97	37	63	26	1.007413330937955	1.0094787084366295	1.0277448802473144	1.633386912420221	1.2007599203086377	7.037706356e-09
iter0030	1	53	66	13	1.0127231108177959	1.01356260774985	0.9733789864200278	1.2475305586788856	1.0529081103421338	7.190620481e-09
iter0030	17	52	62	10	1.0125573510183072	1.0134909691745337	0.9704581172191935	1.1714170725795914	1.0302133323175662	8.126317719e-09
iter0030	42	51	62	11	1.0132248244567936	1.014345649638573	1.0323364777106612	1.1855678782682173	1.0783946132602464	7.018204747e-09
iter0030	73	49	64	15	1.012864504181308	1.0135358174227982	0.9824701299908862	1.2963731789021504	1.0718174550402775	9.55602011e-09
iter0030	97	50	59	9	1.0128583683937749	1.0135086260757253	1.0235254874322668	1.1873209720888591	1.0719978975326832	8.008538584e-09
iter0040	1	56	74	18	1.0109648281479486	1.0197116393588044	0.7755719882251878	1.3450306212432734	0.935339489719106	7.88938735e-09
iter0040	17	55	68	13	1.0115607744352202	1.0200617263904999	0.7897439233433353	1.1142094575324075	0.8915309233551659	9.263484476e-09
iter0040	42	57	77	20	1.0113138890474969	1.0205281561042296	0.7817825307379923	1.1631115152845524	0.9010264474394618	7.869930414e-09
iter0040	73	58	67	9	1.0111888801644213	1.0198402985061716	0.7981953308074513	1.185082027677528	0.9122967140836789	8.674302159e-09
iter0040	97	55	80	25	1.0110779786813213	1.0199941546162414	0.797522187245844	1.4545563356796714	0.9902564114431713	7.675033074e-09
grid_500	1	48	51	3	1.0062887350287024	1.0062854530568086	0.9561633209678023	1.092672868009564	0.9682539844414978	9.608371771e-09
grid_500	17	49	47	-2	1.0059921559636062	1.0060013449009513	1.0020708480645837	0.9608347674929307	0.998108735351805	7.208668035e-09
grid_500	42	45	47	2	1.0054808932827466	1.0054914938420914	1.024992807640669	1.0750839310947775	1.0294272563019025	7.921348579e-09
grid_500	73	48	49	1	1.0060679575963418	1.0060719994000784	1.0124411744461768	1.0301416285827258	1.0141294714622942	9.92093425e-09
grid_500	97	46	49	3	1.0055956710542178	1.0055834959035252	1.0393908044119897	0.8903476060689545	1.0213517101247584	6.420003718e-09
G3_circuit	1	48	53	5	1.0112763857208984	1.0113828337798396	1.2540513905766137	1.1668011839046921	1.2236403948723988	9.578012172e-09
G3_circuit	17	46	53	7	1.012219196155199	1.0122736130757868	1.121163190388045	1.220225156388081	1.1486903192100553	9.645997943e-09
G3_circuit	42	47	50	3	1.0117672112881695	1.011806982209246	1.1535942557709808	1.1201629251303449	1.1434304502661148	7.709871025e-09
G3_circuit	73	46	55	9	1.0113510008601931	1.011373966508289	1.1383937286878036	1.136031482637831	1.1374113459128814	9.079985368e-09
G3_circuit	97	44	52	8	1.011692657914265	1.0116618206418257	1.121739158142891	1.2000544837765623	1.1438689518719447	8.0735076e-09
thermal2	1	45	50	5	1.0092619862453835	1.009252613936409	0.9763462974414758	1.1024352937426285	1.0178399547367527	8.700768071e-09
thermal2	17	45	52	7	1.009479539829186	1.0094741735280763	1.213923440517872	1.2243042370410624	1.2175848300773033	9.591051054e-09
thermal2	42	44	51	7	1.0088401254232735	1.0088294688535173	1.0896383891838106	1.1739322557894787	1.1166033082244107	9.536248254e-09
thermal2	73	44	49	5	1.0097865494638825	1.009781190132749	1.0599325481638102	1.203424515026133	1.1049795983312114	9.49035772e-09
thermal2	97	45	51	6	1.0093096057720785	1.009303209895049	1.0615417591079859	1.2212422309678703	1.1127368757300111	6.959588767e-09
com-Amazon	1	35	43	8	1.0433922848422779	1.0433785962563915	1.0904243259926516	1.3337445675020898	1.148646104802216	5.90601893e-09
com-Amazon	17	34	42	8	1.0439958771723934	1.0439771579317587	1.1611905668718387	1.461798211630311	1.2358791606060466	7.63260787e-09
com-Amazon	42	39	35	-4	1.0424123772068123	1.042389142245998	1.153597308527744	0.980109893102611	1.1050381268975158	7.026899417e-09
com-Amazon	73	37	43	6	1.044713768483983	1.0443647122927266	1.151719993718876	1.149930453273703	1.151027568717431	6.133187567e-09
com-Amazon	97	35	39	4	1.0443137462779226	1.0442652324266333	1.3243820271444333	1.1665984706943044	1.2830037468953677	6.635615472e-09
