matrix,family,trajectory,evaluated_law,actual_fill,actual_iterations,actual_full_census_J,eligible_stars,nu_sum,nu_sum_star_sampling_SE,nu_covered_stars,mean_rho,rho_covered_stars,estimated_J_sum,draws,normalization,matrix_sha256,rhs_sha256
grid_2000,grids,gks,gks,21864559,47,5655388.80748094,3995425,1769025.4880903047,44491.960575398865,3995425,0.8391052303769039,3995425,5225383.986755702,3328,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,gks,prufer,,,,3995425,1455050.1009960282,45640.83925039622,3995425,0.7563300017540678,3995425,4733140.727972988,3328,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,gks,trace_cycle,,,,3995425,726603.7394373149,68785.62091827474,3995425,0.5240749112744085,3995425,2323855.9882868323,3328,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,gks,heavy_core_k2,,,,3995425,,,,0.5194453545450678,3995425,2278766.5974016646,3328,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,trace_cycle,gks,,,,3999994,2016788.7415671353,35779.53704932058,3999994,1.0115396271197767,3999994,8088430.183082369,4288,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,trace_cycle,prufer,,,,3999994,1751404.9670359266,19855.741559541966,3999994,0.9175978650009716,3999994,7484177.571980429,4288,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,trace_cycle,trace_cycle,26903609,28,4568957.910228966,3999994,1031511.94279235,47533.082130025454,3999994,0.6681941911898166,3999994,4383120.5803640885,4288,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,trace_cycle,heavy_core_k2,,,,3999994,,,,0.6781454814004049,3999994,4446542.1403327305,4288,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,heavy_core_k2,gks,,,,3999993,2118907.751076943,43650.763752931496,3999993,1.052872519986684,3999993,8910988.581863018,4096,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
grid_2000,grids,heavy_core_k2,prufer,,,,3999993,1795929.018904503,24871.76595966609,3999993,0.9476912769384408,3999993,8171518.296872178,4096,ideal clique,cb219363c7f53621093e73c182691ec1e625520c7ca614eafeee025d26b6b3b6,48e488193f603aaaa76e1edf10fb0386bb3ba1ec00c8d90da98e73640e338c23
