case	sampl	E_rel_L1	rms_rel_L2
uniform	gks	0.38666667	0.51639778
uniform	bkz-a1	0.38580247	0.44721360
uniform	tilt-a1.75	0.38580247	0.44721360
mild	gks	0.23254240	0.31586423
mild	bkz-a1	0.31869036	0.39601672
mild	tilt-a1.75	0.29486806	0.35199632
geometric	gks	0.18095128	0.24109180
geometric	bkz-a1	0.26692625	0.35009157
geometric	tilt-a1.75	0.25203906	0.28833977
two-scale	gks	0.01463586	0.01951061
two-scale	bkz-a1	0.03924200	0.13600407
two-scale	tilt-a1.75	0.01576505	0.03327294
six-decades	gks	0.01631334	0.02985425
six-decades	bkz-a1	0.02585402	0.09479274
six-decades	tilt-a1.75	0.01945314	0.06601200

spread	stars	GKS_lower_L2	BKZ_lower_L2	ties
0.0	2000	0	2000	0
0.5	2000	965	1035	0
1.0	2000	1941	59	0
2.0	2000	1991	9	0
4.0	2000	1978	22	0
8.0	2000	1974	26	0
