case	weights	metric	sampler	alpha	value	edge_marginal_min	optimizer_converged
uniform	1,1,1,1	degree_rms	gks		0.4714045208	0.3333333333	not-applicable
uniform	1,1,1,1	degree_rms	best-found-all-tree		0.2985013717	0.4198064593	true
uniform	1,1,1,1	degree_rms	ptree	0.00	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.05	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.10	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.15	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.20	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.25	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.30	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.35	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.40	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.45	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.50	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.55	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.60	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.65	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.70	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.75	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.80	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.85	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.90	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	0.95	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.00	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.05	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.10	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.15	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.20	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.25	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.30	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.35	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.40	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.45	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.50	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.55	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.60	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.65	0.4082482905	0.5	not-applicable
uniform	1,1,1,1	degree_rms	ptree	1.70	0.4082482905	0.5	not-applicable
