iter,strategy,setup_s,solve_s,total_s,iters,rel_res,nnz_ratio
01,bg+tree,4.122826e+00,1.112418e+00,5.235244e+00,28,6.347693e-09,0.6654
01,bk+tree,3.032970e+00,5.531070e-01,3.586077e+00,29,7.040535e-09,0.4558
01,hybrid+tree,4.742164e+00,4.726098e-01,5.214774e+00,31,7.677178e-09,0.6628
05,bg+tree,2.853518e+00,1.174696e+00,4.028214e+00,22,9.856490e-09,0.5120
05,bk+tree,1.423880e+00,4.938517e-01,1.917731e+00,26,9.035053e-09,0.2438
05,hybrid+tree,2.185098e+00,4.244697e-01,2.609568e+00,25,6.287243e-09,0.3317
10,bg+tree,2.671737e+00,1.288399e+00,3.960136e+00,28,6.066879e-09,0.5034
10,bk+tree,1.432502e+00,7.423358e-01,2.174838e+00,38,7.691080e-09,0.2764
10,hybrid+tree,2.291481e+00,6.042592e-01,2.895740e+00,35,8.518808e-09,0.3681
15,bg+tree,2.631717e+00,1.117026e+00,3.748743e+00,24,9.038405e-09,0.4765
15,bk+tree,1.397595e+00,5.766688e-01,1.974264e+00,30,8.691245e-09,0.2509
15,hybrid+tree,2.190251e+00,5.028341e-01,2.693085e+00,28,6.062287e-09,0.3423
20,bg+tree,2.647054e+00,1.465921e+00,4.112974e+00,32,8.581609e-09,0.5228
20,bk+tree,1.421589e+00,7.934168e-01,2.215006e+00,41,6.794750e-09,0.2815
20,hybrid+tree,2.281381e+00,6.704554e-01,2.951837e+00,39,8.524457e-09,0.3752
25,bg+tree,2.848240e+00,1.687179e+00,4.535419e+00,38,7.553944e-09,0.5765
25,bk+tree,1.472524e+00,8.816365e-01,2.354160e+00,46,9.066690e-09,0.2992
25,hybrid+tree,2.321747e+00,8.594728e-01,3.181220e+00,45,7.130312e-09,0.4044
30,bg+tree,2.367538e+00,1.947964e+00,4.315501e+00,42,9.204481e-09,0.5485
30,bk+tree,1.388527e+00,1.026928e+00,2.415456e+00,53,7.405669e-09,0.3070
30,hybrid+tree,2.189848e+00,8.551909e-01,3.045038e+00,48,8.799374e-09,0.3870
35,bg+tree,2.322241e+00,2.158222e+00,4.480464e+00,50,9.237669e-09,0.5695
35,bk+tree,1.473376e+00,9.864930e-01,2.459869e+00,52,9.873056e-09,0.3127
35,hybrid+tree,2.351608e+00,9.573520e-01,3.308960e+00,55,7.975332e-09,0.4206
40,bg+tree,2.343859e+00,2.279044e+00,4.622903e+00,51,8.433062e-09,0.5876
40,bk+tree,1.389999e+00,1.135183e+00,2.525182e+00,58,9.020995e-09,0.3210
40,hybrid+tree,2.290353e+00,9.450987e-01,3.235451e+00,55,9.749730e-09,0.4112
45,bg+tree,2.740236e+00,2.284787e+00,5.025024e+00,50,9.920193e-09,0.6387
45,bk+tree,1.400122e+00,1.043312e+00,2.443434e+00,55,7.708010e-09,0.3106
45,hybrid+tree,2.233921e+00,9.348853e-01,3.168806e+00,55,9.325005e-09,0.4028
